representation,model,split,accuracy,f1,auc,ap
TUG,lr_l1,19,0.75,0.7804878048780488,0.85625,0.8906454777571942
TUG,lr_l1,20,0.75,0.7906976744186046,0.8125,0.7922301633555712
TUG,lr_l1,21,0.7297297297297297,0.6875,0.8294117647058824,0.862229735071188
TUG,lr_l1,22,0.6944444444444444,0.7027027027027027,0.7987616099071208,0.8243365896805512
TUG,lr_l1,23,0.75,0.7804878048780488,0.8761609907120743,0.9117486820357767
TUG,lr_l1,24,0.6666666666666666,0.7142857142857143,0.715625,0.7072149548611596
TUG,lr_l1,25,0.5555555555555556,0.5789473684210527,0.7125,0.7482200140658971
TUG,lr_l1,26,0.7027027027027027,0.7027027027027027,0.7911764705882354,0.7658976317799847
TUG,lr_l1,27,0.6666666666666666,0.6470588235294118,0.8018575851393188,0.8406322975469043
TUG,lr_l1,28,0.6666666666666666,0.6666666666666666,0.8359133126934984,0.8391042190554412
TUG,lr_l1,29,0.7222222222222222,0.7368421052631579,0.79375,0.8280909758755028
TUG,lr_l1,30,0.6666666666666666,0.6842105263157895,0.746875,0.793880110311145
TUG,lr_l1,31,0.6216216216216216,0.5882352941176471,0.7558823529411764,0.7676949098161578
TUG,lr_l1,32,0.6944444444444444,0.6857142857142857,0.7678018575851393,0.76996794766625
TUG,lr_l1,33,0.75,0.7804878048780488,0.8513931888544892,0.885631486809082
TUG,lr_l1,34,0.7222222222222222,0.7619047619047619,0.828125,0.7980417529137579
TUG,lr_l1,35,0.6944444444444444,0.6857142857142857,0.8343749999999999,0.8756921544657614
TUG,lr_l1,36,0.6756756756756757,0.7142857142857143,0.7058823529411764,0.676257053590258
TUG,lr_l1,37,0.8333333333333334,0.8421052631578947,0.8482972136222909,0.8607618056585384
TUG,lr_l1,38,0.8055555555555556,0.8108108108108109,0.869969040247678,0.8709327263947668
TUG,lr_l1,39,0.6666666666666666,0.7272727272727273,0.8125,0.8728677582486011
TUG,lr_l1,40,0.6388888888888888,0.6060606060606061,0.73125,0.8023422565626424
TUG,lr_l1,41,0.7567567567567568,0.7804878048780488,0.8323529411764706,0.8606794193799048
TUG,lr_l1,42,0.7777777777777778,0.7894736842105263,0.8142414860681114,0.7623556677708792
TUG,lr_l1,43,0.8055555555555556,0.8108108108108109,0.9009287925696594,0.8964149475229806
TUG,lr_l1,44,0.6944444444444444,0.717948717948718,0.8250000000000001,0.8763960817173735
